label,job_title,complexity,results,accountability,ft_label
5,Land Acquisition and Property Management Agent III,considerable to unusual complexity of assignments applies knowledge of principles practices techniques and laws related to specialty area of complex or litigated decisions real estate property appraisal contracts leases or other right of way activities contacts are diverse and include agency and local and state government officials attorneys office of the attorney general and the general public to provide information and to advise on policy procedure and law prepares specialized reports ,,,__label__5 considerable to unusual complexity of assignments applies knowledge of principles practices techniques and laws related to specialty area of complex or litigated decisions real estate property appraisal contracts leases or other right of way activities contacts are diverse and include agency and local and state government officials attorneys office of the attorney general and the general public to provide information and to advise on policy procedure and law prepares specialized reports 
5,Land Acquisition and Property Manager I,management assignments range from managing project to managing programs applies knowledge of principles practices rules regulations and laws related to the management of the area of work contacts are diverse and include agency staff at all levels and may include local state and federal officials and attorneys to give receive and clarify information related to projects and programs creativity in developing alternative solutions to situations to achieve win win outcomes,,,__label__5 management assignments range from managing project to managing programs applies knowledge of principles practices rules regulations and laws related to the management of the area of work contacts are diverse and include agency staff at all levels and may include local state and federal officials and attorneys to give receive and clarify information related to projects and programs creativity in developing alternative solutions to situations to achieve win win outcomes
6,Land Acquisition and Property Manager II,directs multiple regional or statewide programs applies knowledge of state and federal laws and litigation management of the multiple and varied programs managed applies knowledge of real property acquisition condemnation disposal transfers utilities and conveyances in a governmental setting and real estate principles and practices and property management applies knowledge of budget management human resources management and strategic planning contacts are frequent and diverse and include state and local agencies government officials the office of the attorney general and private attorneys to advise on laws and regulations and to resolve complex programmatic problems responds to concerns of legislators local governments citizens consultants and others to gain cooperation and ensure understanding resolves highly complex and politically sensitive issues ,,,__label__6 directs multiple regional or statewide programs applies knowledge of state and federal laws and litigation management of the multiple and varied programs managed applies knowledge of real property acquisition condemnation disposal transfers utilities and conveyances in a governmental setting and real estate principles and practices and property management applies knowledge of budget management human resources management and strategic planning contacts are frequent and diverse and include state and local agencies government officials the office of the attorney general and private attorneys to advise on laws and regulations and to resolve complex programmatic problems responds to concerns of legislators local governments citizens consultants and others to gain cooperation and ensure understanding resolves highly complex and politically sensitive issues 
1,Laboratory and Research Aide,applies knowledge of basic sanitation techniques laboratory safety procedures research procedures animal handling care and hygiene and use of laboratory equipment performs routine work with limited variation follows established directions and procedures limited contacts outside of co workers and supervision may perform a variety of tasks related to animal care such as feeding and caring for animals ,,,__label__1 applies knowledge of basic sanitation techniques laboratory safety procedures research procedures animal handling care and hygiene and use of laboratory equipment performs routine work with limited variation follows established directions and procedures limited contacts outside of co workers and supervision may perform a variety of tasks related to animal care such as feeding and caring for animals 
2,Laboratory and Research Technician,applies knowledge of sanitation techniques and laboratory safety applies knowledge of research and testing procedures and techniques and of animal handling care and welfare performs a variety of procedures supporting laboratory research clinical or autopsy and necropsy services or geological services may provide limited surgical assistance follows established directions and procedures frequent contacts with co workers supervisors students faculty and research staff to discuss study techniques or results or handling and care of animals ,,,__label__2 applies knowledge of sanitation techniques and laboratory safety applies knowledge of research and testing procedures and techniques and of animal handling care and welfare performs a variety of procedures supporting laboratory research clinical or autopsy and necropsy services or geological services may provide limited surgical assistance follows established directions and procedures frequent contacts with co workers supervisors students faculty and research staff to discuss study techniques or results or handling and care of animals 
3,Laboratory and Research Specialist I,applies knowledge of scientific technical principles practices and regulatory requirements of functional areas performs a variety of procedures supporting clinical research field research service or regulatory and or diagnostic laboratory programs duties may include performing standardized or specialized scientific or clinical procedures performing preliminary procedures to prepare expedite and facilitate further scientific examination and training assisting in veterinary surgical procedures analysis and compilation of data communicating findings research results animal care repairing and maintaining equipment and ordering supplies may have contact with private business other state agencies or government entities faculty students and researchers and or the general public to communicate results and explain laboratory procedures or regulatory requirements ,,,__label__3 applies knowledge of scientific technical principles practices and regulatory requirements of functional areas performs a variety of procedures supporting clinical research field research service or regulatory and or diagnostic laboratory programs duties may include performing standardized or specialized scientific or clinical procedures performing preliminary procedures to prepare expedite and facilitate further scientific examination and training assisting in veterinary surgical procedures analysis and compilation of data communicating findings research results animal care repairing and maintaining equipment and ordering supplies may have contact with private business other state agencies or government entities faculty students and researchers and or the general public to communicate results and explain laboratory procedures or regulatory requirements 
4,Laboratory and Research Specialist II Advanced Expert,applies knowledge of assigned technical or research area participates or leads in the design modification and performance of laboratory or research projects frequent contact with private business other state agencies or government entities principal investigators faculty laboratory staff students and researchers and or the general public to report and interpret results provide consultation and technical assistance and discuss research projects responsibilities include participating in or leading work in the design modification evaluation and performance of laboratory field surveys or research procedures writing or modifying computer programs to analyze data and generate reports researching literature related to project procedures conducting experiments writing segments of reports and manuscripts coordinating grants and budgets assisting lower level staff troubleshooting instrument problems and performing preventive maintenance on equipment ,,,__label__4 applies knowledge of assigned technical or research area participates or leads in the design modification and performance of laboratory or research projects frequent contact with private business other state agencies or government entities principal investigators faculty laboratory staff students and researchers and or the general public to report and interpret results provide consultation and technical assistance and discuss research projects responsibilities include participating in or leading work in the design modification evaluation and performance of laboratory field surveys or research procedures writing or modifying computer programs to analyze data and generate reports researching literature related to project procedures conducting experiments writing segments of reports and manuscripts coordinating grants and budgets assisting lower level staff troubleshooting instrument problems and performing preventive maintenance on equipment 
5,Laboratory and Research Specialist II Supervisor,applies knowledge of supervisory principles and practices applies knowledge of assigned technical or research area participates or leads in the design modification and performance of laboratory or research projects frequent contact with principal investigators research faculty laboratory personnel and students to discuss policies procedures and methodology coordinate research projects report and interpret results and provide consultation and technical assistance responsibilities include writing grant proposals and identifying funding sources designing and directing complex research projects in consultation with a principal investigator modifying and developing laboratory and field procedures quality control processes and determining work methods reviewing the scientific work results directing animal care according to applicable federal laws and regulations hiring and training personnel or students approving procurement budgeting other administrative duties and teaching a laboratory section of college level students ,,,__label__5 applies knowledge of supervisory principles and practices applies knowledge of assigned technical or research area participates or leads in the design modification and performance of laboratory or research projects frequent contact with principal investigators research faculty laboratory personnel and students to discuss policies procedures and methodology coordinate research projects report and interpret results and provide consultation and technical assistance responsibilities include writing grant proposals and identifying funding sources designing and directing complex research projects in consultation with a principal investigator modifying and developing laboratory and field procedures quality control processes and determining work methods reviewing the scientific work results directing animal care according to applicable federal laws and regulations hiring and training personnel or students approving procurement budgeting other administrative duties and teaching a laboratory section of college level students 
5,Laboratory and Research Manager,applies knowledge of the principles and methods of laboratory administration and management applies knowledge of the theory and application of lab methods and instrumentation for the assigned disciplines ability to plan lead and evaluate the work of professional staff frequent contacts with regulatory boards or governmental entities regarding standards quality assurance and lab procedures frequent contact with internal departments regarding administrative matters and with vendors concerning equipment and supplies frequent contacts with researchers staff and students to provide information consultation or direction concerning laboratory operations plans manages and evaluates the work of professional staff develop goals objectives and timetables develop and monitor budgets determine and implement technical methodologies ensure that quality control standards and safety procedures are in compliance with government regulations and laws may teach and or serve as technical experts ,,,__label__5 applies knowledge of the principles and methods of laboratory administration and management applies knowledge of the theory and application of lab methods and instrumentation for the assigned disciplines ability to plan lead and evaluate the work of professional staff frequent contacts with regulatory boards or governmental entities regarding standards quality assurance and lab procedures frequent contact with internal departments regarding administrative matters and with vendors concerning equipment and supplies frequent contacts with researchers staff and students to provide information consultation or direction concerning laboratory operations plans manages and evaluates the work of professional staff develop goals objectives and timetables develop and monitor budgets determine and implement technical methodologies ensure that quality control standards and safety procedures are in compliance with government regulations and laws may teach and or serve as technical experts 
4,Information Technology Specialist I , knowledge of fundamental concepts practices procedures and existing policies and guidelines in a specialized area of information technology tasks range from having some variation and difficulty to having moderate variation and difficulty basic ability to apply specialized concepts practices procedures and policies to meet customer needs and requirements work may require contact with users managers and more senior it staff ,,,__label__4 knowledge of fundamental concepts practices procedures and existing policies and guidelines in a specialized area of information technology tasks range from having some variation and difficulty to having moderate variation and difficulty basic ability to apply specialized concepts practices procedures and policies to meet customer needs and requirements work may require contact with users managers and more senior it staff 
5,Information Technology Specialist II ,work ranges from moderately complex and varied to working on multiple complex projects or systems independently may also function at a high level of technical variation and difficulty knowledge of and experience in applying fundamental concepts practices and procedures of particular function through possessing and applying a broad knowledge of principles practices and procedures for the completion of difficult assignments may provide consultation and provide advice on major implementations ensuring that services are not compromised may participate in strategic planning activities data analysis to predict future needs and identify enhancements budgeting and cost analysis developing technical standards and policies planning of work to meet project deadlines and priority setting may supervise other employees performing various managerial and leadership activities contacts may include interactions with customers to identify and perform actions to meet customer needs collaborates effectively with team members to ensure success of projects and systems ,,,__label__5 work ranges from moderately complex and varied to working on multiple complex projects or systems independently may also function at a high level of technical variation and difficulty knowledge of and experience in applying fundamental concepts practices and procedures of particular function through possessing and applying a broad knowledge of principles practices and procedures for the completion of difficult assignments may provide consultation and provide advice on major implementations ensuring that services are not compromised may participate in strategic planning activities data analysis to predict future needs and identify enhancements budgeting and cost analysis developing technical standards and policies planning of work to meet project deadlines and priority setting may supervise other employees performing various managerial and leadership activities contacts may include interactions with customers to identify and perform actions to meet customer needs collaborates effectively with team members to ensure success of projects and systems 
6,Information Technology Specialist III ,tasks include a high level of technical variation and difficulty performed with deadlines and heavy workloads possesses and applies a significant depth of expertise of principles practices and procedures of a particular function may perform work in multiple functional areas may provide consultation and advice on major implementations ensuring that services are not compromised may provide technical leadership on integration of various related systems may participate in strategic planning activities may supervise or lead other employees performing various managerial and leadership activities may review and analyze data to predict future needs and recommend enhancements may prepare budgeting and cost analyses may develop technical standards project documentation and policies may plan the work of others to meet project deadlines and to set priorities based on user needs may evaluate the effectiveness of services and recommend changes in procedures to meet user needs contacts include interactions with customers on significant topics to identify plan and perform actions to meet customer needs may also train customer to be able to use systems and tools collaborates effectively with team members to ensure success of projects and systems ,,,__label__6 tasks include a high level of technical variation and difficulty performed with deadlines and heavy workloads possesses and applies a significant depth of expertise of principles practices and procedures of a particular function may perform work in multiple functional areas may provide consultation and advice on major implementations ensuring that services are not compromised may provide technical leadership on integration of various related systems may participate in strategic planning activities may supervise or lead other employees performing various managerial and leadership activities may review and analyze data to predict future needs and recommend enhancements may prepare budgeting and cost analyses may develop technical standards project documentation and policies may plan the work of others to meet project deadlines and to set priorities based on user needs may evaluate the effectiveness of services and recommend changes in procedures to meet user needs contacts include interactions with customers on significant topics to identify plan and perform actions to meet customer needs may also train customer to be able to use systems and tools collaborates effectively with team members to ensure success of projects and systems 
7,Information Technology Specialist IV ,possesses and applies comprehensive knowledge in a specialized areas to oversee significant assignments and provides technical expertise for significant assignments supervisory positions know and apply fundamental concepts practices and procedures of the function and of leadership contacts include interactions with customers to identify plan and perform actions to meet customer needs contacts also include interactions as an “expert” in the relevant technical area may perform work across multiple functional areas as an expert in those areas provides technical leadership on integration of various related systems serves as an expert in strategic planning activities analyzes and evaluates data to predict future needs and recommend enhancements prepares budgeting and cost analyses technical standards project documentation and policies that significantly impact it operations leads and collaborates effectively with team members to ensure success of projects and systems ,,,__label__7 possesses and applies comprehensive knowledge in a specialized areas to oversee significant assignments and provides technical expertise for significant assignments supervisory positions know and apply fundamental concepts practices and procedures of the function and of leadership contacts include interactions with customers to identify plan and perform actions to meet customer needs contacts also include interactions as an “expert” in the relevant technical area may perform work across multiple functional areas as an expert in those areas provides technical leadership on integration of various related systems serves as an expert in strategic planning activities analyzes and evaluates data to predict future needs and recommend enhancements prepares budgeting and cost analyses technical standards project documentation and policies that significantly impact it operations leads and collaborates effectively with team members to ensure success of projects and systems 
6,Information Technology Manager I , directs through subordinate supervisors all program operations and staff in assigned areas performs managerial and technical work ranging from moderate to considerable difficulty responsibilities include planning implementing and or improving systems and services knows and applies concepts practices and procedures of supervision and leadership contacts include interactions with customers to identify plan and perform actions to meet customer needs contacts also include interactions with subordinates to provide leadership and guidance in managing the area ,,,__label__6 directs through subordinate supervisors all program operations and staff in assigned areas performs managerial and technical work ranging from moderate to considerable difficulty responsibilities include planning implementing and or improving systems and services knows and applies concepts practices and procedures of supervision and leadership contacts include interactions with customers to identify plan and perform actions to meet customer needs contacts also include interactions with subordinates to provide leadership and guidance in managing the area 
7,Information Technology Manager II ,directs through subordinate supervisors all program operations and staff in assigned areas responsible for budgets and fiscal activity for assigned areas responsible for strategically planning organizing staffing and coordinating functional areas plans and implements the delivery and improvement of services reviews functional area accomplishments toward agency objectives in order to determine operational effectiveness possesses and applies comprehensive knowledge of leadership and management principles and practices possess and applies comprehensive knowledge of particular function to the oversight of significant assignments or responsibilities contacts include interactions with customers to identify plan and perform actions to meet customer needs contacts also include interaction with subordinates to provide leadership and guidance in managing the area ,,,__label__7 directs through subordinate supervisors all program operations and staff in assigned areas responsible for budgets and fiscal activity for assigned areas responsible for strategically planning organizing staffing and coordinating functional areas plans and implements the delivery and improvement of services reviews functional area accomplishments toward agency objectives in order to determine operational effectiveness possesses and applies comprehensive knowledge of leadership and management principles and practices possess and applies comprehensive knowledge of particular function to the oversight of significant assignments or responsibilities contacts include interactions with customers to identify plan and perform actions to meet customer needs contacts also include interaction with subordinates to provide leadership and guidance in managing the area 
8,Information Technology Manager III ,directs through subordinate supervisors all program operations and staff in assigned areas performs work of unusual difficulty in the executive level management of major functional areas responsible for major programmatic areas of the agencys operations possesses and applies advanced knowledge of management principles and practices possess and applies comprehensive knowledge of particular functions to the oversight of significant assignments contacts include agency staff other agency directors cabinet secretaries and other key administration leaders ,,,__label__8 directs through subordinate supervisors all program operations and staff in assigned areas performs work of unusual difficulty in the executive level management of major functional areas responsible for major programmatic areas of the agencys operations possesses and applies advanced knowledge of management principles and practices possess and applies comprehensive knowledge of particular functions to the oversight of significant assignments contacts include agency staff other agency directors cabinet secretaries and other key administration leaders 
4,Human Resource Analyst I,ability to analyze issues and recommend actions applies knowledge of human resource principles and practices including federal and state laws and regulations applicable to work may require knowledge of functional area and human resource information systems frequent contact with agency managers and employees to provide guidance information and to facilitate the resolution of issues contacts may also include benefits providers and the general public for the purpose of gathering data and resolving problems ,,,__label__4 ability to analyze issues and recommend actions applies knowledge of human resource principles and practices including federal and state laws and regulations applicable to work may require knowledge of functional area and human resource information systems frequent contact with agency managers and employees to provide guidance information and to facilitate the resolution of issues contacts may also include benefits providers and the general public for the purpose of gathering data and resolving problems 
5,Human Resource Analyst II,work is difficult and involves diverse assignments or requires extensive knowledge of a functional area supervises leads or serves as a specialist in a broad range of human resource programs or functional areas for local or statewide agencies considerable knowledge of the theories principles and practices of human resource management including specialty areas and federal and state policies applicable to work diverse and extensive contact with agency management employees government and legislative officials private entities and the general public to provide consultation and problem resolution services ,,,__label__5 work is difficult and involves diverse assignments or requires extensive knowledge of a functional area supervises leads or serves as a specialist in a broad range of human resource programs or functional areas for local or statewide agencies considerable knowledge of the theories principles and practices of human resource management including specialty areas and federal and state policies applicable to work diverse and extensive contact with agency management employees government and legislative officials private entities and the general public to provide consultation and problem resolution services 
5,Human Resource Manager I,work is difficult requiring diverse program assignments applies knowledge of human resource functional areas applies knowledge of principles and practices of human resource management policies and procedures diverse and extensive contact with all levels of government officials employees benefits providers and the general public to provide consultation and problem resolution services as well as to discuss matters of controversy and litigation ,,,__label__5 work is difficult requiring diverse program assignments applies knowledge of human resource functional areas applies knowledge of principles and practices of human resource management policies and procedures diverse and extensive contact with all levels of government officials employees benefits providers and the general public to provide consultation and problem resolution services as well as to discuss matters of controversy and litigation 
6,Human Resource Analyst III,work is of unusual difficulty in providing expert consultation and direction for a complex statewide human resource program or functional area comprehensive knowledge of major human resource functional area which requires independent interpretation of state and federal policy and the consistent application of best practices extensive contact with state agencies high ranking government and legislative officials professionals in federal state and local governments and private industry to provide consultation and problem resolution services as well as to discuss matters of controversy and litigation ,,,__label__6 work is of unusual difficulty in providing expert consultation and direction for a complex statewide human resource program or functional area comprehensive knowledge of major human resource functional area which requires independent interpretation of state and federal policy and the consistent application of best practices extensive contact with state agencies high ranking government and legislative officials professionals in federal state and local governments and private industry to provide consultation and problem resolution services as well as to discuss matters of controversy and litigation 
6,Human Resource Manager II,work is of unusual complexity in providing consultation to agency management applies broad comprehensive knowledge of principles and practices of human resource management policies and procedures to direct a complex and diverse agency wide program applies knowledge of one or more functional areas applies knowledge of financial management negotiations conflict resolution and problem solving provides guidance and direction to internal or external agency staff diverse and extensive contact with all levels of state and local government officials employees private entities and the general public to provide consultation and complex problem resolution services coordinate the resolution of regional issues and discuss matters of controversy and litigation ,,,__label__6 work is of unusual complexity in providing consultation to agency management applies broad comprehensive knowledge of principles and practices of human resource management policies and procedures to direct a complex and diverse agency wide program applies knowledge of one or more functional areas applies knowledge of financial management negotiations conflict resolution and problem solving provides guidance and direction to internal or external agency staff diverse and extensive contact with all levels of state and local government officials employees private entities and the general public to provide consultation and complex problem resolution services coordinate the resolution of regional issues and discuss matters of controversy and litigation 
7,Human Resource Manager III,directs a large and complex human resource program or multiple complex human resource management programs develops and oversees implementation of policies and procedures applies knowledge of a broad range of human resource principles and practices applies considerable knowledge of human resource functional areas comprehensive knowledge of administration and budget management sensitive and extensive contact with the highest levels of state government and legislative bodies local government officials agency employees private entities and the general public to provide diverse consultation and complex problem resolution services establish and maintain strategic partnerships coordinate the resolution of regional issues and to discuss matters of controversy and litigation ,,,__label__7 directs a large and complex human resource program or multiple complex human resource management programs develops and oversees implementation of policies and procedures applies knowledge of a broad range of human resource principles and practices applies considerable knowledge of human resource functional areas comprehensive knowledge of administration and budget management sensitive and extensive contact with the highest levels of state government and legislative bodies local government officials agency employees private entities and the general public to provide diverse consultation and complex problem resolution services establish and maintain strategic partnerships coordinate the resolution of regional issues and to discuss matters of controversy and litigation 
1,Housekeeping and or Apparel Worker I,tasks are manual labor intensive utilizing cleaning equipment laundry and dry cleaning equipment and or a variety of sewing machinery ability to perform a variety of cleaning tasks applies knowledge of dry cleaning techniques and or laundry operations and or knowledge of standard practices and procedures of tailoring ability to interpret and follow direction internal and external contacts with customers to discuss services follows any industry specific guidelines and safety regulations to include blood borne pathogens and other related osha and epa guidelines applies knowledge of cleaning techniques and proper use of chemicals and solutions ability to use industrial grade equipment ,,,__label__1 tasks are manual labor intensive utilizing cleaning equipment laundry and dry cleaning equipment and or a variety of sewing machinery ability to perform a variety of cleaning tasks applies knowledge of dry cleaning techniques and or laundry operations and or knowledge of standard practices and procedures of tailoring ability to interpret and follow direction internal and external contacts with customers to discuss services follows any industry specific guidelines and safety regulations to include blood borne pathogens and other related osha and epa guidelines applies knowledge of cleaning techniques and proper use of chemicals and solutions ability to use industrial grade equipment 
2,Housekeeping and or Apparel Worker II,performs a variety of tasks in supervising and performing the required services applies knowledge of dry cleaning techniques and or laundry operations applies knowledge of standard practices and procedures of tailoring applies knowledge of housekeeping techniques and operations applies knowledge of supervisory practices and principles ability to interpret and follow direction as well as provide direction internal and external contacts with staff and customers to discuss services ,,,__label__2 performs a variety of tasks in supervising and performing the required services applies knowledge of dry cleaning techniques and or laundry operations applies knowledge of standard practices and procedures of tailoring applies knowledge of housekeeping techniques and operations applies knowledge of supervisory practices and principles ability to interpret and follow direction as well as provide direction internal and external contacts with staff and customers to discuss services 
3,Housekeeping and or Apparel Manager I,plans schedules inspects work and assigns work to subordinate supervisors and or teams demonstrated ability to provide direction leadership and training to employees external contact with university officials agency personnel general public and outside vendors to resolve problems purchase supplies and provide general information applies knowledge of management principles and practices may supervise shift workers and inspect and approve contract workers ,,,__label__3 plans schedules inspects work and assigns work to subordinate supervisors and or teams demonstrated ability to provide direction leadership and training to employees external contact with university officials agency personnel general public and outside vendors to resolve problems purchase supplies and provide general information applies knowledge of management principles and practices may supervise shift workers and inspect and approve contract workers 
4,Housekeeping and or Apparel Manager II,manages a broad spectrum of functions staff and administrative activities applies knowledge of subject areas applies knowledge of administration of program resources and staff demonstrated ability to manage others and to communicate effectively develops interprets and applies policies reviews programs processes for effectiveness contacts include the public other state agencies private entities and government officials to coordinate and plan activities and negotiate or procure services ,,,__label__4 manages a broad spectrum of functions staff and administrative activities applies knowledge of subject areas applies knowledge of administration of program resources and staff demonstrated ability to manage others and to communicate effectively develops interprets and applies policies reviews programs processes for effectiveness contacts include the public other state agencies private entities and government officials to coordinate and plan activities and negotiate or procure services 
3,Historian Archaeologist and Preservationist I,applies knowledge of cataloging and documentation systems inventory systems and preventive conservation applies knowledge of historical and or preservation research methods contacts include lenders insurers representatives and shippers for the arrangement of transportation of historical items insurance certification and information exchange ,,,__label__3 applies knowledge of cataloging and documentation systems inventory systems and preventive conservation applies knowledge of historical and or preservation research methods contacts include lenders insurers representatives and shippers for the arrangement of transportation of historical items insurance certification and information exchange 
4,Historian Archaeologist and Preservationist II,applies knowledge of applicable policies regulations and research methodologies applies knowledge of technical scientific investigative principles practices and procedures within state federal regulations applies knowledge of culture and history related to artifacts architectural features and types of structures may require specialized knowledge of a particular period or civilization presentation and writing skills are required contact with public property owners vendors historical associations sponsors government officials hearing boards park services consultants schools and the media to provide technical assistance information education to identify funding sources and or outreach programs ,,,__label__4 applies knowledge of applicable policies regulations and research methodologies applies knowledge of technical scientific investigative principles practices and procedures within state federal regulations applies knowledge of culture and history related to artifacts architectural features and types of structures may require specialized knowledge of a particular period or civilization presentation and writing skills are required contact with public property owners vendors historical associations sponsors government officials hearing boards park services consultants schools and the media to provide technical assistance information education to identify funding sources and or outreach programs 
5,Historian Archeologist and Preservationist III,applies comprehensive knowledge and application of laws and technical and regulatory policies and procedures applies comprehensive knowledge of one or more historic preservation disciplines contact with project sponsors and stewardship programs schools government officials park services property owners and preservation groups to promote coordinate special projects provide technical and design assistance interpretative and exhibit development support and or general research ,,,__label__5 applies comprehensive knowledge and application of laws and technical and regulatory policies and procedures applies comprehensive knowledge of one or more historic preservation disciplines contact with project sponsors and stewardship programs schools government officials park services property owners and preservation groups to promote coordinate special projects provide technical and design assistance interpretative and exhibit development support and or general research 
5,Historian Archaeologist and Preservationist Manager,applies knowledge of multiple historic preservation program areas including applicable state and federal statutes regulations and guidelines applies knowledge of human resource and financial management principles and practices ability to plan and direct projects and programs and to develop long range plans contact with local state and federal officials general public and private developers to provide information technical assistance resolve issues evaluate program design and or make presentations ,,,__label__5 applies knowledge of multiple historic preservation program areas including applicable state and federal statutes regulations and guidelines applies knowledge of human resource and financial management principles and practices ability to plan and direct projects and programs and to develop long range plans contact with local state and federal officials general public and private developers to provide information technical assistance resolve issues evaluate program design and or make presentations 
4,Hearing and Legal Services Officer I,schedules and conducts hearings and investigations applies knowledge of guidelines laws rules and regulations related to area of work applies knowledge of administrative hearing procedures and administrative process act contacts include hearing participants and attorneys to obtain or provide information and advice may independently prepare cases of fraud and overpayment recovery fund and licensee violations and present them in courts of law ,,,__label__4 schedules and conducts hearings and investigations applies knowledge of guidelines laws rules and regulations related to area of work applies knowledge of administrative hearing procedures and administrative process act contacts include hearing participants and attorneys to obtain or provide information and advice may independently prepare cases of fraud and overpayment recovery fund and licensee violations and present them in courts of law 
5,Hearing and Legal Services Officer II,the range of hearing officers tasks includes conducting informal and formal hearings rendering written decisions and determining civil penalties the range of lawyers responsibilities includes conducting legal research litigating cases in courts of law and negotiating and or legally resolving alleged violations of clients legal rights lawyers providing legal services require a law degree lawyers may represent clients in state federal courts applies knowledge of laws rules and regulations affecting subject area applies knowledge of administrative procedures for conducting hearings due process standards and legal research methods contacts by hearing officers include agency representatives appellants attorneys and clients to obtain and provide information and advice issue subpoenas and schedule and administer hearings contacts by lawyers include clients attorneys courts advocacy organizations consumers service providers and agency representatives to obtain and provide information and advice conduct training and provide advocacy and legal assistance ,,,__label__5 the range of hearing officers tasks includes conducting informal and formal hearings rendering written decisions and determining civil penalties the range of lawyers responsibilities includes conducting legal research litigating cases in courts of law and negotiating and or legally resolving alleged violations of clients legal rights lawyers providing legal services require a law degree lawyers may represent clients in state federal courts applies knowledge of laws rules and regulations affecting subject area applies knowledge of administrative procedures for conducting hearings due process standards and legal research methods contacts by hearing officers include agency representatives appellants attorneys and clients to obtain and provide information and advice issue subpoenas and schedule and administer hearings contacts by lawyers include clients attorneys courts advocacy organizations consumers service providers and agency representatives to obtain and provide information and advice conduct training and provide advocacy and legal assistance 
